カテゴリ,質問 (Question),回答 (Answer)
1. 制度・法規,森林経営計画の認定を受けるための最小面積要件は？,原則として、属人的計画の場合は10ha以上、属地的計画の場合は一体のまとまりを持った森林であることが必要です。
1. 制度・法規,森林法第11条に基づき、計画が認定されない主な理由は？,伐採量や造林面積が市町村森林整備計画に適合していない場合や、路網整備計画が不適切な場合に却下されます。
1. 制度・法規,経営計画の有効期間は何年ですか？,5年間です。5年ごとに現状の森林簿と照らし合わせ、更新手続きを行う必要があります。
1. 制度・法規,計画期間中に所有者が変わった場合、どうすればよいですか？,承継の手続きが必要です。変更届を市町村に提出し、認定を引き継ぐことができます。
1. 制度・法規,補助金の対象となる「間伐」の定義は？,立木本数の概ね20%以上を伐採し、残存木の成長を促進させる施業が対象となります。
1. 制度・法規,森林経営管理制度（意向調査）の目的は何ですか？,適切な管理がなされていない私有林に対し、市町村が仲介して経営管理を委託・代行するためです。
1. 制度・法規,再造林補助金を受給するための条件は？,"伐採後、一定期間内に指定された本数（例：スギ3,000本/ha）の植栽を完了し、検査に合格することです。"
1. 制度・法規,保安林での皆伐を行う際の制限は？,都道府県知事の許可が必要であり、指定された伐採限度面積や伐採跡地の植栽義務が厳格に定められています。
1. 制度・法規,J-クレジット創出における森林管理の要件は？,森林経営計画に基づき適切な間伐等の施業が行われ、二酸化炭素吸収量が客観的に証明される必要があります。
1. 制度・法規,森林所有者不明の場合の特例措置とは？,確知できない所有者に対し、公告等を経て市町村長が経営管理権を設定できる制度があります。
2. 現場の暗黙知,境界標がない山林で境界を推定するコツは？,谷筋（水が流れる場所）や尾根筋、または古い時代の段々畑の跡や石積み、植生の変化（杉から檜へ）を目安にします。
2. 現場の暗黙知,作業道の路線選定で避けるべき地形は？,崩落跡地（ガリ）、湧水箇所、極端に急な斜面（35度以上）は、将来の路面崩壊リスクが高いため避けます。
2. 現場の暗黙知,伐採現場で「材が拾いやすい」場所とは？,作業道に近く、集材機やクレーンが旋回できるスペースが確保できる平坦地に近い場所を指します。
2. 現場の暗黙知,ベテランが「地盤が緩い」と判断するサインは？,水が浮いている場所以外にも、地面を踏んだ時の反発力のなさや、周囲の立ち木の傾き（根曲がり）で判断します。
2. 現場の暗黙知,選木（間伐対象）において「劣等木」とは？,樹冠が小さく、幹が曲がっているもの、または病害虫の被害が見られる木を優先的に間伐します。
2. 現場の暗黙知,下刈りの最適なタイミングは？,夏の雑草の成長が止まる直前（8月下旬〜9月上旬）に行うと、翌春まで雑草の影響を抑えられます。
2. 現場の暗黙知,危険木の伐採でクレーン車が必要な基準は？,木が民家側に傾斜している場合や、重心が偏っておりワイヤーでの牽引だけでは倒れる方向を制御できない場合です。
2. 現場の暗黙知,チェーンソーの目立てが不十分な時の症状は？,切り口が曲がる、切り粉が粉状になる（本来は削り節状）、強く押し付けないと入らない等の症状が出ます。
2. 現場の暗黙知,地域の森林組合が管理する私有林の「アザイズ」とは？,土地の字（あざ）ごとの位置関係を示す図面であり、所有者特定や境界確認の最重要資料です。
2. 現場の暗黙知,熟練者が「今、この山は切らない方がいい」と言う理由は？,木材市場の価格低迷だけでなく、木の成長がまだピークに達していない（蓄積が少ない）場合などがあります。
3. 気象・安全,作業を中止すべき風速の目安は？,瞬間風速10m/sを超えると、梢端（木の先端）の揺れが激しくなり、倒木や枝折れ事故のリスクが急増します。
3. 気象・安全,降雨後、土砂災害の危険が高まる基準は？,連続雨量50mm、または1時間雨量20mmを超えた場合は地盤が急激に緩むため、山への立ち入りを避けます。
3. 気象・安全,地温が下がると林業作業にどんな影響が出る？,地面が凍結すると作業道のスリップ事故が増え、また凍結融解を繰り返すことで路肩が崩れやすくなります。
3. 気象・安全,湿度が高い日の伐倒作業の注意点は？,視界不良や足元の滑りやすさに加え、木材の重量が増し、牽引時の負荷が予想より大きくなることがあります。
3. 気象・安全,蜂の被害が最も多い時期はいつですか？,8月から10月の営巣活動が活発な時期です。巣を見つけた場合はその区画の施業を一時中断します。
3. 気象・安全,山の中で雷に遭遇した場合の正しい避難方法は？,高い木からは4メートル以上離れ、姿勢を低くします。木の真下は「側撃雷」を受けるため非常に危険です。
3. 気象・安全,熱中症予防のため、湿度が何％を超えたら休憩を増やす？,気温に関わらず湿度が75%を超えると不快指数が高まり、汗による体温調節が難しくなるため警戒が必要です。
3. 気象・安全,雪の中での伐採作業の特有のリスクは？,雪の重みで木の重心が不安定になる「雪吊り」現象や、根元の形状が見えずツルが正確に作れないリスクがあります。
3. 気象・安全,作業道が冠水した場合の対応は？,車両の走行を即座に中止します。路盤が流失している可能性があり、無理な通行は路網の全壊を招きます。
3. 気象・安全,現場での「ヒヤリハット」を共有する意味は？,「倒れた木が跳ねた」「ワイヤーが切れた」等の未遂事例を共有することで、死亡事故の約9割を未然に防げます。
4. 所有者合意,境界不明で所有者が揉めている時の仲裁方法は？,双方の主張を聞いた上で、古い「字絵図」や「周囲の既設境界」との整合性をデータで示し、妥協点を探ります。
4. 所有者合意,「管理を任せてもお金にならない」と言われたら？,「放置による土砂災害リスクの増大」や「将来の伐採費用の増大」をデータで示し、リスク回避の価値を伝えます。
4. 所有者合意,登記簿の住所が古い所有者を探す方法は？,市町村の住民基本台帳や税務資料の照会に加え、地元の「古老」や隣接所有者への聞き込みを行います。
4. 所有者合意,所有者に間伐のメリットを説明するフレーズは？,「光を入れることで残った木が太くなり、5年後、10年後の資産価値が上がります」と将来価値を強調します。
4. 所有者合意,相続したばかりで山のことがわからない人への対応は？,まずは「森林簿」の写しを提示し、自分の山がどこにあり、どんな木が植わっているかを可視化して伝えます。
4. 所有者合意,作業道の新設で隣接地の通過許可をもらうコツは？,通過地のメリット（搬出経路ができる、管理しやすくなる等）を伝え、施業後の路面修復を保証します。
4. 所有者合意,森林経営計画の同意書に判を押してもらうタイミングは？,認定申請の3ヶ月前までには合意を取り、余裕を持って事務手続きが進められるようにします。
4. 所有者合意,伐採後の再造林を拒否された場合の説得材料は？,「伐採跡地の放置は水源涵養機能の低下や不法投棄の温床になる」という社会的責任と、補助金の返還リスクを伝えます。
4. 所有者合意,山を売りたいという相談を受けた時の助言は？,森林組合の仲介制度や、隣接所有者への買取提案など、信頼できる売却先を提案し、乱開発を防ぎます。
4. 所有者合意,合意形成が難航する区画はどうすべき？,無理に進めず、その区画を「経営計画」から一旦外し、合意が得られた周辺区画から施業を開始します。
5. 経営・実務,木材価格が暴落した時の対策は？,伐採時期を先送りし、その期間を「作業道の整備」や「下刈り」等のインフラ整備に充て、次期に備えます。
5. 経営・実務,1.5ヶ月かかる事務作業の最大のボトルネックは？,行政データ（森林簿）と現場データの照合作業、および所有者への押印依頼・回収の郵送プロセスです。
5. 経営・実務,補助金申請の差し戻し（修正指示）で多い理由は？,面積の計算ミス、図面の整合性不足、および施業前・後の写真が要件を満たしていないケースです。
5. 経営・実務,外注の「きこり（プロ）」へ依頼する際の判断基準は？,危険木の処理や難所での伐採など、組合職員では対応しきれない高度な技術と特殊車両が必要な場合です。
5. 経営・実務,市場（土場）へ木材を運搬する際のコスト削減策は？,近隣の現場と運搬車両を共有し、空荷（からに）の時間を減らす効率的な配車計画を立てることです。
5. 経営・実務,森林組合の「組合員」になるメリットは？,施業委託料の優遇、苗木や資材の共同購入による低コスト化、および経営計画の優先的な作成です。
5. 経営・実務,木材の「A材（役物）」と「B材（梱包）」の差は？,A材は節がなく、真っ直ぐな良質材で家具や住宅の見える部分。B材は小節があり、梱包材や土木資材になります。
5. 経営・実務,バイオマス発電向けの「C材」の需要は？,木材チップの原料として一定の需要がありますが、単価が安いため、搬出コストの徹底的な管理が必要です。
5. 経営・実務,作業道（幅員3m）の開設単価の目安は？,地形や岩盤の有無によりますが、1メートルあたり数千円〜1万数千円程度が標準的です。
5. 経営・実務,若手職員が10年の経験を積まないとわからないことは？,「この天気が3日続けば、あの谷の道は崩れる」という、数値化しにくい現場独自の因果関係の察知です。